	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
ABCB4	0.1	0.02	0.02	0.1499999999999999	1.5300000000000002	0.1200000000000001	0.0	0.06	0.1799999999999999	0.0
KMT2E	24.459999999999994	25.589999999999993	14.310000000000008	22.85	15.79	14.29	16.269999999999996	20.53	17.039999999999996	17.409999999999997
RHBDD2	50.66	35.80999999999999	42.610000000000014	105.18000000000006	57.24999999999998	42.66	53.06999999999999	38.33	42.53	101.62
SOX8	0.0	0.01	0.02	0.0	1.3899999999999997	0.05	0.6299999999999999	0.0	0.01	0.01
IBTK	19.440000000000005	18.87	21.34	12.360000000000005	12.059999999999992	16.62	45.71	16.119999999999997	22.11999999999999	25.22
ZNF195	15.810000000000006	9.43	19.780000000000005	4.599999999999998	10.96	26.01	37.8	14.4	7.490000000000002	11.709999999999994
MYCBP2	21.28	27.949999999999996	24.679999999999996	13.759999999999998	13.800000000000004	26.86	16.33	12.89	18.619999999999997	9.35
FBXL3	13.29	25.670000000000005	18.549999999999994	7.570000000000006	12.770000000000003	27.590000000000007	12.89	11.580000000000004	12.380000000000006	8.09
ITGAL	0.1599999999999999	1.56	0.1799999999999999	0.1499999999999999	0.06	0.31	0.07	0.05	0.1899999999999999	0.1899999999999999
PDK2	7.289999999999999	9.060000000000002	14.869999999999996	18.290000000000003	13.580000000000004	24.669999999999995	15.27	14.449999999999998	19.55	11.580000000000004
ITGA3	166.98999999999998	93.89	88.29999999999998	656.1699999999996	92.19	147.33999999999995	545.7700000000003	246.01000000000005	498.0300000000001	127.0
ZFX	12.83	7.690000000000003	4.760000000000001	4.010000000000002	6.780000000000001	11.650000000000004	9.51	9.329999999999997	10.100000000000003	12.25
LAMP2	77.14000000000001	85.09	79.72	141.90000000000012	132.02	29.35	150.90000000000003	124.36	105.90999999999998	47.849999999999994
ITGA2B	0.76	1.35	0.05	0.3999999999999999	0.25	0.2199999999999999	0.5	2.26	0.6200000000000001	0.9399999999999996
ASB4	0.03	0.07	0.0	0.1999999999999999	0.1899999999999999	0.01	0.51	0.02	0.06	0.02
GDE1	64.0	58.49	49.67000000000001	44.92	30.49000000000001	54.84	103.81999999999998	42.499999999999986	38.57999999999999	34.769999999999996
REX1BD	45.38	63.34	23.409999999999993	116.78000000000004	37.309999999999995	26.73999999999999	25.52999999999999	24.260000000000005	47.040000000000006	36.16
