	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
RIBC1	0.33	4.32	0.9600000000000002	1.0599999999999996	1.77	0.4299999999999999	1.29	1.19	3.62
TMSB15B	1.5700000000000005	16.269999999999996	2.96	0.47	0.0	2.85	15.160000000000004	23.51	25.65000000000001
CATIP	0.1400000000000001	0.1999999999999999	0.04	0.04	0.48	0.02	0.03	0.3900000000000001	0.9799999999999998
CNOT11	27.9	42.43999999999999	36.57999999999999	40.99000000000001	28.29	38.69	23.910000000000004	70.05999999999999	38.35000000000001
KCNB1	0.1100000000000001	8.759999999999996	0.06	0.1	0.02	0.1200000000000001	0.05	0.1100000000000001	5.55
TSPAN33	1.42	2.1699999999999995	5.199999999999999	1.04	2.22	1.4699999999999998	20.33	9.55	3.49
NRG2	0.3	9.38	0.1299999999999999	0.5	0.01	0.4099999999999999	6.880000000000003	0.6800000000000002	8.31
AHCYL2	2.52	3.54	6.240000000000001	6.179999999999999	5.380000000000001	3.91	11.750000000000004	6.89	2.38
B4GALT5	42.220000000000006	95.73	64.06	32.040000000000006	28.559999999999985	33.39999999999999	42.90999999999999	66.89000000000001	159.91
CD1D	0.02	0.1899999999999999	0.01	0.0	0.0	0.0	0.01	1.3399999999999994	0.09
CD1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPATA2	4.870000000000003	12.9	8.439999999999998	5.929999999999999	7.190000000000001	5.51	7.92	4.210000000000002	13.27
CD1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD1B	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.04	0.03
DNAH3	0.33	0.1299999999999999	1.1100000000000003	0.76	0.05	0.0	0.06	0.1400000000000001	0.47
CD1E	0.07	0.0	0.02	0.0	0.0	0.0	0.01	0.04	0.05
HMHB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPA2	0.01	0.3799999999999999	0.04	0.01	0.0	0.1899999999999999	0.1	0.0	0.06
NCF1	0.1200000000000001	0.1799999999999999	0.1100000000000001	0.03	0.2099999999999999	0.2199999999999999	0.0	0.3400000000000001	0.1299999999999999
CPA5	0.03	0.1100000000000001	1.29	0.01	0.32	0.03	0.32	0.3799999999999999	0.3700000000000001
TSR2	6.100000000000001	24.930000000000007	18.639999999999993	18.269999999999996	31.97000000000002	6.649999999999998	26.27	17.81	30.120000000000022
PPP1R9A	2.13	4.890000000000001	0.25	0.02	1.92	2.04	4.249999999999998	8.01	4.809999999999999
ZC3H18	27.75999999999999	21.329999999999995	29.94	44.2	37.29999999999999	48.169999999999995	42.080000000000005	29.26	18.890000000000015
ZFAND2B	14.050000000000002	18.17	25.69	26.129999999999992	17.18	16.51	21.81	26.340000000000007	14.12
POM121L2	0.04	0.01	0.02	0.0	0.01	0.03	0.02	0.1100000000000001	0.02
GDPD5	0.71	69.39	7.879999999999997	8.530000000000001	1.9299999999999995	9.63	8.03	18.74	102.59
DYNC1I1	0.07	0.4499999999999999	0.51	0.27	0.01	1.0599999999999996	0.1200000000000001	0.3599999999999999	0.1499999999999999
PFKFB1	0.1400000000000001	0.2099999999999999	0.1899999999999999	0.1799999999999999	0.09	0.48	0.29	0.09	0.1400000000000001
ALAS2	0.06	0.01	0.01	0.05	0.03	0.0	0.08	0.0	0.01
TMED4	46.599999999999994	47.6	57.11999999999999	45.63000000000002	88.18000000000004	92.30999999999996	60.89999999999999	90.41	57.55999999999999
PPP1R15B	24.08	33.800000000000004	21.370000000000008	28.960000000000008	19.15	55.61999999999998	13.609999999999992	28.270000000000003	17.449999999999996
COPG2	10.52	18.96	18.500000000000004	8.02	15.0	11.500000000000002	21.549999999999997	17.679999999999996	21.03
EMSY	9.81	56.89999999999999	13.099999999999998	12.339999999999998	12.32	28.91000000000002	22.19	5.860000000000002	47.68000000000001
PAGE5	0.04	0.26	0.0	0.1200000000000001	0.1499999999999999	0.0	0.1699999999999999	0.0	0.9200000000000002
GPAT4	42.740000000000016	62.56	21.980000000000004	57.07	20.619999999999997	69.53	56.22000000000002	57.28000000000001	36.3
PKD1L1	0.05	0.4599999999999999	0.1	0.04	0.0	0.55	0.01	0.05	0.4199999999999999
ZSCAN12	2.85	1.25	0.69	0.4199999999999999	5.339999999999999	2.83	2.0	4.890000000000001	0.6099999999999999
TAGLN2	337.55999999999995	538.11	1729.4000000000003	586.6999999999997	562.7900000000001	723.529999999999	341.0099999999998	1203.1	533.4699999999997
ELK4	8.829999999999998	28.15000000000001	14.2	13.96	7.829999999999998	21.859999999999996	7.120000000000003	14.879999999999995	16.890000000000004
SLAMF8	0.08	0.06	0.26	0.0	0.1299999999999999	0.06	0.03	0.06	0.0
SLC45A3	27.21	8.210000000000003	16.179999999999996	7.66	15.039999999999996	7.030000000000001	2.9699999999999993	9.52	8.359999999999998
DUSP23	28.23	28.179999999999993	24.109999999999992	30.23999999999999	38.709999999999994	13.759999999999998	0.25	60.93000000000002	30.110000000000007
RNF166	4.2200000000000015	6.489999999999999	7.760000000000002	6.8999999999999995	11.530000000000005	8.430000000000001	14.74	11.490000000000002	7.629999999999999
NBL1	31.790000000000006	33.67999999999999	90.73000000000002	52.639999999999986	29.17	38.49000000000001	68.42999999999999	46.08000000000003	9.84
HTR6	0.02	0.1599999999999999	0.03	0.01	0.03	0.01	0.01	0.01	0.1
ITLN2	0.0	0.0	0.05	0.03	0.0	0.1400000000000001	0.0	0.0	0.0
F11R	53.43999999999999	73.22999999999999	129.17000000000002	67.05	71.18999999999998	84.14000000000001	2.84	56.81999999999999	68.38
USF1	44.05999999999999	51.68000000000001	40.870000000000005	36.81	27.74	47.969999999999985	35.09000000000001	45.499999999999986	33.35999999999999
PLA2G2F	0.02	0.0	36.52000000000001	0.02	0.2099999999999999	0.01	0.0	0.0	0.0
SPATA2L	4.360000000000001	5.380000000000001	5.250000000000001	13.46	8.460000000000003	8.530000000000001	5.990000000000001	9.329999999999997	5.02
NIT1	26.500000000000007	24.020000000000007	29.449999999999996	18.99	12.93	23.050000000000008	11.140000000000002	37.39000000000001	19.05
