gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
SZT2	0.0	0.0	0.0	0.0	0.0	5.26	0.0		5.56
FECH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NUP214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DGCR8	0.0	0.0	0.0	0.0	0.0	1.86	0.0	0.0	0.0
SREK1	0.56	1.61	0.65	0.47	1.45	0.42	0.97	1.05	0.93
TRIO	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PIH1D1	4.87	1.86	3.23	3.06	1.54	4.66	3.16	2.01	1.43
XRN2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
B4GALT4	95.51	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.74
CYTH3	8.06	5.92	5.26	8.33	4.23	7.5	6.25	4.55	5.59
SPIDR	86.61	94.12	84.13	78.49	92.42	91.53	81.63	90.59	85.22
THBS1	0.0	0.0	0.1	0.0	0.0	0.35	0.0	0.09	0.0
CNPY2	98.94	100.0	99.19	98.1	100.0	98.91	100.0	97.09	98.09
PSMC6	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0
NADSYN1	3.31	3.85	6.48	1.8	1.2	5.26	3.45	0.0	2.08
NCKIPSD	100.0	100.0	91.84	90.74	100.0	100.0	96.73	100.0	97.7
PAK1	0.0	0.25	0.0	0.26	0.0	0.56	0.0	0.0	0.31
ACAD10	96.49	84.62	100.0	88.68	100.0	100.0	88.24	87.5	100.0
LOH12CR1	4.17	2.86	2.86	1.18	3.23	4.55	2.17	4.76	1.67
RAD54L	100.0	100.0	100.0	100.0	100.0	100.0	100.0		97.5
LMF2	100.0	100.0	100.0	95.24	96.91	94.69	95.38	100.0	100.0
PODXL	93.85	94.74	96.12	94.15	93.7	77.5	89.29	94.44	92.14
