	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
FOSFOMYCIN		0.751768953258	0.412564924899	0.218521693737	0.147668949074		0.0102016227351	-0.207286852085	-0.106352347907	
PRENYLAMINE	-0.0225579643272	-0.272261546595	-0.75980277902	0.529199303889	-0.0917541897747	-0.299499659115	-0.114526046875	-0.160716496742	-0.414965798421	0.253642192838
EFAROXAN	0.465348478884	-0.0079636660125	-0.139525356604	-0.267652942341	0.515398744764	-0.155886968117	0.182245211841		1.24073841567	-0.153581977726
IMILOXAN	0.514178389264	-0.161290314448	-0.772618654178	0.260438195716	0.0551139701973		0.188273859458	0.10097710235	0.513868681866	-0.219333836938
GRANISETRON	-0.289993246057	-0.396760054767	0.0603301770543	-0.0144676821813	-0.418360265348		-0.047990749636	-0.0114019135216	-0.055402058572	-0.197113986722
CARVEDILOL	0.371462103918	-0.332060910165	0.273289981564	0.26431800313	-0.0403749894397		-0.0461473422965	-0.0365337457568	0.118479623163	-0.662997528226
CARBAZOCHROME	-0.413610156145	0.169887789636	-0.261867073987	-0.781330033833	-0.747563902701	0.147535247138	0.0717470892348	-0.0891223401438	0.248414670007	0.286578242464
NADIDE	-0.0563736594462	-0.520038709761	0.349043600115	0.103421198133	0.0310525259985		0.0158031939098	0.0947485926708	0.379587576814	-0.197854838997
DEHYDROCHOLATE-ACID	0.919150637187	0.20987519478	-1.10908700431	-0.502779233027	-0.526317630659		-1.05314946001	0.633251180951	0.498083762697	-0.083875587523
MEPARFYLON		0.374647204255	0.435515712776	0.0665691822441	-0.187774867573		-0.313089894657	0.272364748416	0.255464791383	
BAY-85-8050	0.426790741658	0.558228299305	-0.264513424911	0.820966714053	-0.14002810308	0.329191711167	-0.131850402515	0.342302685564	0.370057826682	0.329205274468
ENILCONAZOLE	-0.0753726803596	0.117452401509	-0.701500456158	0.198052753998	-0.235243759549	0.16927212663	-0.233441465832		0.175681725506	-0.0320839515194
AM-92016	-0.626349429828	-0.175483783271	-0.286717120452	0.223877037609	-0.362931011533	-0.490842104122	-0.711471844055	-0.778336086054	-1.72501539624	-0.31577354012
PROSCILLARIDIN-A	-3.62182819578	-4.40952585932	-4.72220351972	-2.9969975471	-3.58837951818	-5.50071790188	-2.17902975334	-4.76532673494	-2.67192193211	-4.50225714445
LORAZEPAM	-1.51122100264	-2.06108556318	-1.3190152895	-1.45196276011	-1.28641391149		-1.41922679107	-1.13223435952	-0.848242726813	-1.25044204652
CEFEPIME	-0.0729991616076	-0.134096242324	-0.580782122127	0.0942284204066	-0.151949835058		-0.0569031080495	-0.368281167915	-0.361277711399	-0.421712584803
NUTLIN-3	-0.936535292189	0.157936597929	-0.618336105824	-0.331723213192	0.749522270395		0.0310865910142	0.303853007239	0.793431734329	-0.0126331454612
L-CITRULLINE	0.229946325065	-0.48901663892	0.516739169123	-0.219157196861	0.301249616383		-0.255226139984	0.101612544075	-0.0028378256591	-0.413414364318
USNIACIN-(+)		-0.187614574756	-0.515181678768	-0.198194805299	-0.89826820214		0.00042308858555	0.150354230514	-0.634618506944	
L-HYDROXYPROLINE		0.597046945773	0.179142318739	0.75452552096	0.552347837634		0.884198625417	0.162512899248	0.894263503929	
CISAPRIDE	-0.519049868993	-0.307009821675	-0.977725951481	0.115472259651	-0.379932337932		0.0428089633441	-0.221066757441	-0.68720423937	-0.426038856162
POMALIDOMIDE	-0.388655028355	0.409982471927	-0.137576932305	0.275466635888	-0.0751200301248		-0.0763125004117	-0.305040587879	0.188428018625	-0.319036903159
TROGLITAZONE	-0.335625751099	-0.335983064949	-0.163771089403	0.0176888991163	-0.346801410399	-0.503974544549	-0.336974425514	-0.61268233981	0.398629649076	-0.645745081358
FLUOROMETHOLONE	-0.0994533779321	0.0453647194434	-0.311294515052	1.31154300367	1.00776204533	-0.198500046407	0.234671091612	-0.501683560143	-1.31636303143	-0.496080685132
DOXAZOSIN	0.15071110244	0.294997911921	-0.281870564777	-0.0702235038357	-0.0539356815717	0.000588228772346	0.0860442100821	0.223508427317	1.19228543792	-0.12621756299
PERILLYL-ALCOHOL	0.122081801142	-0.378822194659	0.448099582279	0.00602630044311	0.327238202212		-0.271431816655	-0.289379176853	0.732863679066	-0.309873886137
ORNITHINE		-0.0184550518914	0.11452721714	-0.169174436189	-0.527338917557		-0.792233525489	0.111206209586	-0.217428031632	
5'-CHLORO-5'-DEOXY-ENBA-(+/-)	-0.148176870382	0.0865197093505	-0.241664911495	0.127775364712	0.029545957695	0.106357724313	-0.621386188249	-0.0658283865684	0.299666020707	0.0642372496849
SULINDAC	0.254378070834	-0.0530946106107	-0.263770305655	-0.0752507107325	0.134734623145	0.138317118497	0.234640800664	0.167474812329	-0.247303084711	0.0967344122745
TC1	-0.317618805576	-0.00595733437396	-0.616089395136	-0.515370139157	0.55438442253	-0.573010156713	-0.431388630357		-0.241684954732	-0.373246592565
OXYPHENONIUM	-0.278957642096	-0.0612402069487	0.465294768876	0.150701376841	0.287706574193	0.0467470022115	-0.499431245206		-1.29057241063	0.146397782358
OCTOPAMINE	-0.28322435195	-0.409409407926	-0.43988476282	-0.385834759549	0.223611036952	-0.213367780157	-0.506054328553	0.193410496769	-0.492450613446	-0.122385419185
GUANADREL	-0.783286564528	-0.281388533256	-0.726355780931	-0.252537206175	-0.417632636678		-0.136792804215	-0.158542619663	0.79948021239	-0.5211990074
SN-6	0.201192928577	0.0477964098812	-0.0531069835102	-0.790096391684	-0.621155349696	-0.154173584009	-0.00789282622609	-0.0507505151542	0.468958169006	0.0984479780648
IDRA-21	-1.66995755715	-2.67344577612	-2.66405067634	-1.94163807397	-1.87428182438	-2.7811970334	-1.16140821449	-3.07359567142	-1.5072571785	-2.29795133605
MESORIDAZINE	0.157540897232	0.175180502775	0.272596127028	0.278035699069	-0.237287158503	-0.131810091928	-0.13768988581		0.727290418718	-0.16109434112
UB-165	-0.0438599865897	-0.093768228189	0.00181179418671	-0.0262145712067	-0.351346950205	0.374212249425	-0.548568293061	-0.0449357984351	-0.239433322597	0.284153101071
NORGESTREL	-0.300412059714	-0.0941052752059	-0.0744801595866	0.422234051536	-0.940095637606	0.358181032558	-0.072148975364	-0.012952675103	0.0581763760844	-0.233386377575
DOFEQUIDAR	0.580358863592	0.421826713131	-0.343345692704	0.739523864766	0.0625616099985	0.10131266085	0.531371469415	-0.0258375104578	-0.0810315731679	0.403260420902
ALAPROCLATE	0.552350138359	0.558760008076	0.899579029822	-0.0023409886694	0.394790927015	-0.15548398728	0.202157889391	0.374230098007	0.717080973765	0.0953362203906
DIADENOSINE-TETRAPHOSPHATE	-0.282219576509	0.677442085192	-0.18516965206	0.474427139271	0.161908044661	0.0784877156598	0.405939749012	-0.0552549943656	-0.0445170831824	0.490298905825
MILNACIPRAN	0.372029434172	0.293929516421	0.574721554487	-0.116561105878	0.0591143259497		0.127844712653	-0.126895673959	-0.314919015171	0.0773798376159
FLUOCINOLONE-ACETONIDE	0.350182312626	-0.0602656283424	0.0515265660464	0.614921086327	0.0066168075439		-0.347997721404	-0.0302393606167	-0.218478123544	-0.879359980295
L-CYSTINE		0.0301986319465	0.153280029173	-0.240860512416	-0.52590211256		-0.0146699479206	-0.213560758836	0.085018129438	
GW-1929	-0.0437595509925	-0.331471144964	0.272746851199	-0.520019516025	-0.342935556596	-0.0394918822251	-0.0995310974236	-0.0591041376351	-0.448317013543	-0.027878706258
BMY-14802	0.0997265111357	-0.482798206614	-0.343647329935	-0.609388854795	-0.281472505395	-0.0623772234329	-0.0312863193545	-0.0639268481894	-0.448295072751	-0.0366901118305
SDZ-21009	-0.309518290919	0.0403535112595	0.00704657760129	-0.334532497142	0.0788035420465	-0.316717535541	-0.138677006006	0.312127368358	0.630084714032	-0.15720804734
REBAMIPIDE	-0.383229797649	0.207719325823	-0.611284563866	0.0160344618755	0.266197897838	-0.208079280382	0.319411563488	0.0382692588434	-0.247941901695	-0.694322711314
BUCLADESINE	-0.0959014137229	-0.181875938318	-0.378147017	0.852703345802	-0.119211104894	0.229821953671	-0.0518347385782	-0.0171309204219	0.340494073553	0.00143968153231
INDOBUFEN	0.120222117687	0.0157783629067	0.149731617236	-0.0522526874791	-0.0902465515366	0.285186181758	-0.263115248864	-0.106981062948	-0.110376621509	0.0765276631132
THIOCTIC-ACID	0.202873489661	0.301246567727	-0.347197106909	-0.0556482816521	-0.293982604382	-0.00304284586659	0.198519073746	0.0916727741836	-0.0582408025901	-0.227251481669
DORAMECTIN	0.157722626662	-0.0170300001603	-0.29695702574	0.236410028799	0.39669556264	0.0730553248619	0.132627934807	0.0662239535361	0.00181974861386	-0.394091337559
QUINESTROL	-0.292849912104	-0.38231065792	-0.253301722437	-0.0281153714686	0.247852804314	0.286902203004	-0.263293612173		-0.175386627	-0.147372133158
BUTOCONAZOLE	0.158707935941	0.589379402596	-0.745972228677	-0.376925681853	0.28458049547	0.341625967213	0.0315565648394	0.014289312104	0.267338062955	-0.095909126913
BADGE	0.0889400082626	0.505186473365	-0.730715265981	0.0520807779305	0.944920728783	-0.324730778847	0.160607575084	-0.0239269802579	-0.300719225436	0.0042417090976
ISOXSUPRINE	1.0515303076	-0.176395231889	-2.71281356279	-0.400656059492	0.37746396982	-0.698540421837	-0.380689830433	-1.37181081774	-0.124970071528	-1.04761481326
