	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
CNPPD1	39.78	46.169999999999995	14.69	41.66	63.030000000000015	68.80999999999999	34.82
UXS1	14.000000000000009	50.08	23.089999999999996	52.07999999999999	58.46000000000003	24.050000000000004	103.18000000000002
ABCB6	50.7	4.460000000000001	6.800000000000001	10.93	30.890000000000004	6.959999999999999	19.340000000000003
STK16	36.55	20.149999999999995	14.060000000000008	49.03	53.649999999999984	39.31000000000001	38.18000000000001
SLC5A7	0.0	0.01	0.0	0.0	0.0	0.0	0.0
HDLBP	504.50000000000006	287.1500000000001	48.88	219.96999999999997	395.7199999999999	214.81999999999996	336.8000000000001
PPP1R7	152.68	82.03	47.63000000000001	71.39000000000003	126.62000000000002	68.30000000000004	76.74999999999999
PASK	14.830000000000004	25.720000000000017	4.360000000000001	8.439999999999998	16.269999999999996	23.85000000000001	9.05
STK25	130.39999999999998	144.18	37.05	170.01000000000002	249.57	93.16000000000004	248.76
TPO	0.05	0.03	0.02	0.01	0.01	0.1799999999999999	0.01
PROC	4.23	2.46	1.69	0.09	0.24	0.56	0.07
ID2	167.55000000000004	114.75	45.220000000000006	0.72	40.82	71.96	3.74
TAF1B	16.1	17.430000000000003	7.360000000000001	21.719999999999995	16.39000000000001	11.869999999999996	21.48
HPCAL1	79.14	12.439999999999994	31.839999999999996	112.76999999999995	35.6	18.850000000000012	27.41
ODC1	69.15000000000002	98.99999999999996	116.88000000000008	147.36	196.05000000000004	243.12	294.36999999999983
BIRC6	18.52	30.430000000000003	11.41	18.229999999999997	20.270000000000007	28.23	21.080000000000005
NOL10	17.840000000000003	24.949999999999992	8.55	15.130000000000004	21.840000000000003	16.549999999999997	31.289999999999992
PLEKHB2	53.06000000000002	46.63	39.41000000000001	70.53999999999999	45.31000000000002	69.03000000000002	69.18
GORASP2	99.21	66.15000000000002	43.81000000000001	51.02000000000002	52.22	70.35000000000001	65.69000000000001
STRN	7.210000000000001	10.86	2.3899999999999997	8.88	14.55	11.060000000000002	9.800000000000002
CEBPZ	31.11	60.5	67.67999999999999	31.980000000000025	47.379999999999995	43.57	50.94999999999999
PRKD3	15.8	28.69	8.66	43.740000000000016	25.6	6.450000000000001	35.13000000000001
DCAF17	11.760000000000002	15.09	3.7300000000000018	7.65	6.33	5.6499999999999995	9.170000000000003
QPCT	0.1299999999999999	10.939999999999998	19.329999999999995	60.09	5.7700000000000005	11.509999999999998	0.1899999999999999
RAB3GAP1	19.670000000000005	31.06000000000001	12.71	30.860000000000007	20.739999999999995	25.460000000000004	22.790000000000003
SLC25A12	34.220000000000006	12.720000000000004	10.39	15.869999999999994	10.019999999999998	5.62	17.679999999999996
RMDN2	2.2699999999999996	6.940000000000001	3.7799999999999985	1.4500000000000002	1.6399999999999997	1.4799999999999995	3.670000000000001
DLX2	6.990000000000001	7.629999999999999	0.04	2.04	1.88	0.1799999999999999	2.42
LCT	0.01	0.0	0.0	0.01	0.01	0.04	0.0
DARS1	35.910000000000004	57.810000000000045	114.91	70.00999999999999	58.34000000000002	64.16999999999999	59.79000000000001
SRSF7	133.41	344.47000000000014	201.3499999999999	184.55000000000004	262.5799999999999	210.80999999999997	216.60000000000005
SDC1	37.55000000000001	42.70000000000002	15.829999999999998	48.48	59.07999999999999	143.46000000000004	1.04
PLCL1	0.06	0.0	0.0	0.0	0.04	0.01	0.01
SLC1A4	8.500000000000002	5.14	2.83	9.64	11.55	27.090000000000007	5.199999999999999
SOS1	7.0699999999999985	13.52	2.26	6.820000000000001	11.919999999999998	6.34	6.010000000000001
KYNU	83.87000000000002	0.09	11.23	21.120000000000015	13.080000000000004	0.1499999999999999	0.31
WIPF1	3.370000000000001	10.660000000000004	0.28	19.280000000000005	10.429999999999998	0.05	4.839999999999999
ORC2	7.33	20.1	8.09	16.290000000000003	11.429999999999996	18.76000000000001	19.670000000000005
COX7A2L	44.60000000000004	93.33	70.09999999999998	84.18999999999998	77.55	73.21	82.87999999999998
PNO1	16.690000000000005	33.56	24.289999999999996	24.790000000000003	23.61999999999999	28.120000000000008	58.80000000000002
ORC4	15.9	28.769999999999992	13.06	20.92	9.03	22.01	18.670000000000005
PLEK	0.1299999999999999	0.03	0.03	0.07	0.0	0.1599999999999999	0.1100000000000001
RND3	53.10000000000001	4.72	80.84	53.56	59.04999999999998	18.549999999999994	0.09
ATF2	32.61999999999999	29.369999999999997	9.3	24.270000000000007	24.56000000000001	8.48	21.90000000000001
THADA	14.510000000000002	22.950000000000003	5.4799999999999995	12.24	16.060000000000002	16.949999999999996	24.47
AAK1	6.659999999999997	6.69	3.380000000000001	13.749999999999998	9.51	4.470000000000001	13.629999999999992
TRAK2	11.970000000000002	16.1	3.83	17.700000000000003	15.05	13.83	15.32
C2orf42	4.650000000000001	9.3	3.750000000000001	10.34	4.33	3.950000000000003	6.920000000000001
TIA1	36.68000000000001	111.93	14.86	46.47999999999999	33.580000000000005	32.45000000000001	57.69
PCYOX1	19.129999999999995	22.62	14.710000000000006	23.85000000000001	14.82	15.459999999999996	8.11
KISS1R	0.05	0.1100000000000001	0.03	0.0	0.0	0.3799999999999999	0.0
